City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
218,Polovinnoye,54.7914,65.9864,31.06,41,68,20.54,RU,broken clouds,2021-11-07 01:06:34
219,Lumphat,13.4878,106.9816,78.03,80,100,4.65,KH,overcast clouds,2021-11-07 01:06:34
220,Pozo Colorado,-23.4923,-58.7972,62.46,80,99,6.69,PY,overcast clouds,2021-11-07 01:06:34
221,Oktyabrskiy,54.4815,53.471,33.24,95,100,17.13,RU,light snow,2021-11-07 01:06:35
222,Sur,22.5667,59.5289,74.75,54,0,7.54,OM,clear sky,2021-11-07 01:06:35
223,Dalbandin,28.8947,64.4101,56.64,27,56,7.96,PK,broken clouds,2021-11-07 01:06:35
224,Healdsburg,38.6105,-122.8692,60.91,72,20,1.99,US,few clouds,2021-11-07 01:02:58
225,Ushtobe,45.2514,77.9838,12.16,91,6,5.57,KZ,clear sky,2021-11-07 01:06:36
226,Borinskoye,52.4569,39.3713,40.75,82,52,13.65,RU,broken clouds,2021-11-07 01:06:36
227,Jalu,29.0331,21.5482,67.89,45,0,5.64,LY,clear sky,2021-11-07 01:06:36
228,Half Moon Bay,37.4636,-122.4286,63.63,79,20,5.75,US,mist,2021-11-07 01:06:36
229,Port Lincoln,-34.7333,135.8667,59.16,54,92,6.93,AU,overcast clouds,2021-11-07 01:05:12
230,Alice Springs,-23.7,133.8833,72.95,78,90,5.75,AU,overcast clouds,2021-11-07 01:05:04
231,Mogoytuy,51.2833,114.9167,18.73,36,92,10.18,RU,overcast clouds,2021-11-07 01:06:37
232,Nemuro,43.3236,145.575,52.95,81,100,11.05,JP,overcast clouds,2021-11-07 01:06:37
233,Kanungu,-0.9575,29.7897,58.75,85,26,3.36,UG,scattered clouds,2021-11-07 01:06:38
234,Carballo,43.213,-8.691,50.86,90,0,4.88,ES,clear sky,2021-11-07 01:06:38
235,Brae,60.3964,-1.353,48.11,82,100,21.92,GB,overcast clouds,2021-11-07 01:06:38
236,Chicama,-7.8447,-79.1469,61.34,82,75,6.89,PE,broken clouds,2021-11-07 01:06:39
237,Bonito,-21.1211,-56.4819,68.67,84,100,5.46,BR,overcast clouds,2021-11-07 01:06:39
238,Pacific Grove,36.6177,-121.9166,64.51,83,1,4.0,US,clear sky,2021-11-07 01:02:25
239,Hithadhoo,-0.6,73.0833,82.96,69,96,15.97,MV,overcast clouds,2021-11-07 01:06:40
240,Ilulissat,69.2167,-51.1,19.42,49,20,5.75,GL,few clouds,2021-11-07 01:06:40
241,Bulawayo,-20.15,28.5833,71.35,32,36,5.32,ZW,scattered clouds,2021-11-07 01:06:40
242,Burlington,39.8835,-74.6413,50.7,81,1,4.61,US,clear sky,2021-11-07 01:06:41
243,Sulangan,11.1373,123.7228,82.65,80,100,11.56,PH,light rain,2021-11-07 01:06:41
244,Cartagena Del Chaira,1.3349,-74.8429,72.99,94,88,1.83,CO,overcast clouds,2021-11-07 01:06:41
245,Kaya,13.0917,-1.0844,83.21,23,38,6.78,BF,scattered clouds,2021-11-07 01:06:42
246,Torbay,47.6666,-52.7314,42.28,82,1,1.99,CA,clear sky,2021-11-07 01:05:32
247,Kalmunai,7.4167,81.8167,78.03,87,100,5.73,LK,light rain,2021-11-07 01:06:42
248,Shubarkuduk,49.1447,56.4872,28.44,27,98,8.1,KZ,overcast clouds,2021-11-07 01:06:42
249,Alyangula,-13.8483,136.4192,86.13,64,100,9.06,AU,overcast clouds,2021-11-07 01:06:32
250,Pokoynoye,44.8097,44.2517,44.69,81,50,4.47,RU,scattered clouds,2021-11-07 01:06:43
251,Sept-Iles,50.2001,-66.3821,45.05,76,76,10.0,CA,broken clouds,2021-11-07 01:06:43
252,Lakes Entrance,-37.8811,147.981,64.58,90,100,8.52,AU,overcast clouds,2021-11-07 01:06:43
253,Ballina,-28.8667,153.5667,77.18,72,12,12.08,AU,few clouds,2021-11-07 01:06:44
254,Gat,31.61,34.7642,70.39,45,0,3.89,IL,clear sky,2021-11-07 01:06:44
255,Thinadhoo,0.5333,72.9333,83.14,71,99,16.26,MV,overcast clouds,2021-11-07 01:06:25
256,Nikolskoye,59.7035,30.7861,40.87,83,60,8.99,RU,light rain,2021-11-07 01:06:44
